
Position,BKP,Bauteil,Bereichskapitel,Bereichstext
115,258,Innenausbau Küche,Dunstabzug,"Es ist darauf zu achten, dass der V-ZUG DFSE mit einem geeigneten Filter ausgestattet wird. Idealerweise sollten dafür Longlife-Filter ausgeschrieben werden."
116,261,Lifte/Hebebühnen,Aufzüge,"Personenlift: Kabinengrösse ca. 110 x 140 cm rollstuhlgängig, Schindler Lift Typ 3100.Es ist zu prüfen, ob der Liftschacht mit einer Liftschacht-Entlüftung ausgerüstet werden muss. Dies ist mit einer Motorklappe mit Federrücklaufantrieb, ein Raumthermostat sowie ein Wetterschutzgitter auszurüsten."
117,271,Übriger Innenausbau,Allgemeine Gipserarbeiten,"Wohnbereiche: Wände mit Vollabrieb 1.5 mm (Qualitätsstufe 3)Wände Nassräume Grundputz zur Aufnahme von Plattenbelag oder Weissputz mit abwaschbarer Farbe. Nasszellen: Restflächen mit Weissputz glatt. (Qualitätsstufe 3)Wohnungsdecken Q17ualitätsstufe 3, Weissputz, glatt, zum Streichen Sämtliche Wände und Decken sind mit einer Haftbrücke als Verbesserung der Haftung zwischen Untergrund und Putzauftrag sind zu versehen.Einbau VorhangschienenEinbau von 1 Vorhangschiene VS57direkt auf Betondecke befestigt, putzbündig montiert."
118,271,Übriger Innenausbau,Trockenbauarbeiten,"Teilweise Vorwandsystem in GIS bei Nasszelleninstallationen. Gipser: Ausdämmen der Elemente (Brandschutz) und Beplankung nach Vorgabe Elementlieferant. Es ist zu prüfen, die Beplankung der Leichtbauwände im Auftrag des Sanitär zu integrieren (Systemgarantie)."
119,272,Übriger Innenausbau,Allgemeine Metallbauarbeiten,"Treppengeländer:Staketengeländer Rundstäbe 1.5cm, oben und unten an Flachstahl befestigt, einbrennlackiert Farbe gemäss Farb- und Materialkonzept, Handlauf aus Kunststoff, Profilage Promano HL02, schwarz, Handlauf ist in den Ecken rund durchlaufend. gem. Bauvorschriften. Erdgeschoss Treppenharfe, Staketengeländer Rundstäbe 1.5cm, oben und unten an Flachstahl befestigt, einbrennlackiert Farbe gemäss Farb- und Materialkonzept analog Treppengeländer. Es ist zu prüfen ob beidseitig ein Handlauf benötigt wird, gemäss SIA 358 und BfU sind diese in Allgemeinen Fluchtwegen gefordert. Einhaltung der BfU Richtlinien.
StaketengeländerWie bereits in den Plangrundlagen (Phase 1) angemerkt, werden gemäss SIA-Norm 500:2009 oder SIA 358:2010 in allgemeinen Fluchtwegen beidseitig Handläufe verlangt. Da das Gelände auf 1 m ausgeführt werden muss, kann dies nicht als Handlauf gewertet werden, da dieser zwischen 85 cm und 90 cm liegen sollte.
StaketengeländerGeländerhöhe mm 1'050, ab f.B Anwendungsbereich innen.Pfosten aus Flachstahl mm 50x10.Pfostenabstand m 1.00 oder nach Vorgaben Unternehmer.Pfostenlänge mm 990 Ober- und Untergurt aus Flachstahl mm 50x10.Staketen aus Flachstahl mm 40x10, einmal verdreht und mit Stirnplatte verbunden.Bestenfalls werden noch zusätzliche Angaben zum Radius in Bezug auf Übergänge wie Treppenauge oder Wangen gemacht. Zudem sollten die Abstände der Staketen mit einem maximalen Abstand von 120mm (gemäss BfU) aufgeführt werden. Diese Angaben sollten gegebenenfalls sinngemäss in allen Geländerpositionen oder als übergeordnete Positionen vermerkt werden.
Generell:Um spätere Diskussionen bei den Abnahmen zu vermeiden, sollten insbesondere für Metallbauteile wie Geländer im Treppenhaus sowie Balkone und Terrassen die Bewertungskriterien bereits in der Ausschreibung integriert werden. Siehe hierzu das Merkblatt von Metaltec Suisse TK003.Die Bewertung erfolgt in der Regel im Außenraum mit einem Mindestabstand von 5 m und im Innenraum mit mindestens 3m. Sofern andere Betrachtungsabstände und Kriterien gewünscht werden, sind diese vorab vertraglich zu vereinbaren.Die Erfahrung zeigt, dass wir bei Abnahmen vermehrt auf Oberflächen treffen, die Blattern, Blasen, Orangenhaut etc. aufweisen. Da diese aus 3m Entfernung nicht erkennbar sind, sind sie in der Regel hinzunehmen."
120,273,Übriger Innenausbau,Innentüren in Holz,"Türen im Kellerbereich:Metallzargen 2.10 m hoch (wegen Installationen an der Decke), Türblätter mittelschwer, Kunstharz belegt, Farbe Weiss. Stahlzargen weiss gestrichen. Türen mit Einsteckschlössern und Sicherheitszylinder über Schliessanlage abgestimmt. Wo erforderlich Ausführung EI 30 mit Türschliesser, Ist die Beschriftung der Kellerabteile eingerechnet?"
121,273,Übriger Innenausbau,Innentüren und -fenster in Holz,"Wohnungsabschlusstüren, Treppenhaustüren:Bänder aufgesetzt, edelstahlfinish. Beschläge Türgriffe Mega 32.601 mit Sicherheitsrosette, matt vernickelt."
122,273,Übriger Innenausbau,"Beschriftungen, Markierungen, Signaletik","Beschriftung Treppenhauszugänge, Geschosse, Technikräume, Kellerzugänge, Kellerabteile etc."
123,281,Übriger Innenausbau,Unterlagsboden,"Sämtliche Räume des Untergeschosses Zementüberzug 3 cm stark. Garage mit Hartbeton. Bodenplatte und Hartbeton im Gefälle? Zufahrt in gerillter Oberfläche?Schwimmende Zementunterlagsböden 8 cm stark für Wohnungsnutzung in allen Geschossen, gemäss Normen fertig zur Aufnahme von den Deckbelägen.Es ist zu prüfen, welche Hartbetonsorte eingesetzt wird. Das Gefälle in der TG wird Bestenfalls mit 2% ausgeführt. Es ist ein besonderes Augenmerkt auf die Fugenanordnung zu legen, um Risse vorzubeugen.
Wohnungen mit Unterlagsböden in Anhydrit und Zement mit Bodenheizung, geschliffen und farbig versiegelt.Es ist im Voraus ein Muster (Wohnbereich, Nasszellen) zu erstellen. Dies dient der gemeinsamen Beurteilung, um Diskussionen über die Ausführung bei der Abnahme zu vermeiden.
Kellerräume, Abstellräume:Zementüberzug 30mm, Oberfläche geglättet. Mit 2K gestrichen?Technische Räume, Korridor, Trockenräume:Zementüberzug 30mm, Oberfläche geglättet. Mit 2K gestrichen?
Im Bereich der Rampe und des Schutzraums wurde eine Aufbauhöhe von 50mm angegeben. Gemäss SIA 252:2012 dürfen einschichtige Hartbetonbeläge der Beanspruchungsgruppen I und II jedoch eine maximale Nenndicke von 40mm nicht überschreiten. Bei zweischichtigen Aufbauten ist die maximale Nenndicke mit 45mm definiert.Zudem möchten wir darauf hinweisen, dass bei Hartbetonbelägen mit einer Dicke über 40mm besondere Massnahmen zur Rissbreitenbeschränkung vorgesehen werden müssen – beispielsweise der Einsatz von Stahlfaserbewehrung, Kunststoffvergütung, mehrschichtiger Ausführung oder anderen bewährten Verfahren.
Gemäss Baubeschrieb wurde eine Hartbetonsorte mit einem einschichtigen Belag der Beanspruchungsgruppe I, einer Druckfestigkeit von C50 und einer Biegezugfestigkeit von F7 vorgesehen. In der Ausschreibung wurde nun jedoch eine Betonsorte der Beanspruchungsgruppe II mit einer Druckfestigkeit von C40 und einer Biegezugfestigkeit von F5 ausgeschrieben. Aus unserer Sicht stellt dies eine Verschlechterung gegenüber dem Baubeschrieb dar."
124,281,Übriger Innenausbau,Bodenbeläge Terasse / Balkone,"Zementplatten mit Weisszementanteil, 40x40cm gefast, abgerieben auf Stelzlager. An sämtlich aufgehenden Bauteilen mit einer Fuge von 10mm inkl. Fugenprofil. Bei Attikaterrassen, in EG und Loggia über Innenraum in Splitt verlegt. Je nach öffnungshöhe und tiefe wird eine Sicherheitsrinne gefordert."
125,281,Übriger Innenausbau,Bodenbeläge Plattenarbeiten,"Terrassen und Balkone mit keramischen Platten Rutschfestigkeit R11, Badezimmer GB1 oder A. Duschräume und Duschwannen Barfussbereich GB2 oder B. Die Auswahl wird durch den Bauherrn bestimmt. Bodenplatten oder Parkett nach Wahl gemäss Preisgrenze, verlegt bzw. aufgeklebt und ausgefugt, teilweise Sockel, inkl. aller Nebenarbeiten Inkl. Erstpflege falls nötig.Wandplatten nach Wahl gemäss Preisgrenze, verlegt, aufgeklebt und ausgefugt, teilweise Silikonfuge beim Übergang Boden-Wand, inkl. aller Nebenarbeiten, brutto inkl. MwSt: Wohnungen: alle Nassräume raumhoch inkl. sämtlichen Abdichtungsmassnahmen wie Verbundabdichtung und Haftbrücke etc."
126,285,Übriger Innenausbau,Innere Malerarbeiten,"Innenwände und –decken zweimal mit Silikonharzfarbe gestrichen. Rahmentüren, Türzargen, Heizungsverteiler, etc. mit 2-Komponentenfarbe gestrichen. Lifttüren aussen gestrichen/gespritzt mit 2-Komponentenfarbe nach Farbkonzept Malerarbeiten Garage: Wände und Decke gemäss Materialkonzept gestrichen/gespritzt, Keller roh belassen nicht streichenEs ist zu prüfen ob die Kellerböden gestrichen werden, zumindest in den Technikräumen?"
127,287,Übriger Innenausbau,Baureinigung,"Abdeckarbeiten Böden und Aufzüge, periodische Zwischenreinigungen je nach Baufortschritt. sowie einmalige Schlussreinigung sämtlicher Räumlichkeiten. Unterhaltsreinigungen der Musterwohnung. Schlussreinigung des gesamten Kanalisationssystems inkl. Nachweisprotokoll.
Komplette Schlussreinigung vor der Übergabe inklusive Ein- und Ausbauten, Apparate, Armaturen, Rinnen, Abläufe, Laufschienen der Schiebefenster und Schränke. Reinigung aller Räume durch eine Fachfirma vor der Übergabe des Gebäudes. Ein-, Ausbauten, Trennwände, Apparate, Armaturen inkl.  Entsäuerung Feinsteinzeugplatten.
Die Baureinigung umfasst die Entfernung grober Verschmutzungen, Baumaterialresten und Abfällen sowie die Reinigung von Böden, Fenstern, Rahmen und anderen Oberflächen, einschliesslich der Beseitigung von Staub, Putzresten und Zementschleiern.Im Rahmen der Baufeinreinigung werden Feinstaub, Schlieren und Flecken auf allen Oberflächen entfernt, Glasflächen streifenfrei gereinigt, Türen, Zargen, Rahmen sowie Sanitäranlagen, Küchen und technische Anlagen gründlich gesäubert und Schutzfolien sowie Aufkleber beseitigtZusätzlich erfolgt eine fachgerechte Absäuerung mineralischer Oberflächen mit umweltfreundlichen Reinigungsmitteln, wobei die Flächen neutralisiert und nachbehandelt werden.Bei Schäden durch unsachgemäße Reinigung haftet der Auftragnehmer."
128,289,Übriger Innenausbau,Musterwohnung,Es ist zu prüfen eine Vorzeitige Fertigstellung einer Musterwohnung zu definieren. Termin spätestens 6 Monate vor Bezug gem. Werkvertrag.
129,298,Übrige Gebäudetechnik,Koordination Einstellhalle,"Es gibt diverse Bereiche in der Tiefgarage, die grössere Kreuzungen mit Lüftungskanäle aufweisen. Gemäss VSS Norm müssen die Durchfahrtshöhen eine lichte Raumhöhe von 2.30m und Parkplätze 2.20m aufweisen."
130,298,Übrige Gebäudetechnik,Koordination Revisionsöffnungen,"Es stellt sich die Frage, ob die Revisionsöffnungen der Lüftung in unterräume versetzt werden können, Bsp. oberhalb des Garderobenschranks oder in den Nasszellen. Dies hat lediglich Ästhetische Hintergründe wird aber vielfach als störend befunden."
131,298,Übrige Gebäudetechnik,Koordination Aussenluftfassung,"Es ist anzunehmen, dass es sich beim Lüftungsaustritt an der Fassade um die Aussenluftfassung handelt. In diesem Zusammenhang möchten wir darauf hinweisen, dass die Schneehöhe berücksichtigt werden muss. Siehe dazu auch SIA 382-1:2014."
132,391,Rohbau,Technikzentrale – Rohbau,"Es ist zu prüfen, ob Einbringöffnungen eingerechnet wurden (auch für den späteren Unterhalt)."
133,391,Rohbau,Einstellhalle,Es sind noch keine Massnahmen für die Natürliche Garagenentlüftung ersichtlich (SWKI_VA103-01).
134,391,Rohbau,Bodenbeläge,Auch für die Wände mit Abrieb sind die Q-Stufen zu definieren.Siehe Merkblatt 3 Putzoberflkächen im Innenbereich.
135,391,Rohbau,Nasszellen,Es ist zu prüfen ob die Luxanzahl für die Beleuchtung des Spiegelschranks und der Einbauspots mit der gleichen grösse (3000k oder 4000k) ausgeführt wird. Ggf. kann die Luxgrösse auch beim Speigelschrank eingestellt werden (Fabrikat).
136,391,Rohbau,Küche,"Generell:Sofern die Abluft des Dampfabzugs über Dach geführt wird, muss die Nachströmende Luft gewährleistet werden. Siehe SIA 382-4;2012 Anhang A.
17Es ist nicht ersichtlich ob für den Gewürzschrank Reling eingerechnet werden?Aus Sicht QualiCasa ist dies zu empfehlen um einer Allfällige Beschädigung des Kochherds entgegenzuwirken.
Es ist zu prüfen, ob die Luxanzahl für die Beleuchtung des Küchenbauers und die des Dampfabzugs mit der gleichen grösse (3000k oder 4000k) ausgeführt wird.
Generell:Es ist zu prüfen, weshalb beim Typ 1 lediglich eine 3-Fach Steckdose ausgeführt wird."
137,391,Rohbau,Treppen,"Wie bereits im Memo vom Baubeschrieb erwähnt, ist wingend der Schalungstyp und die BOK-Klasse zu definieren. (Siehe SIA 118-262;2018 und CEM Suisse). Gemäss Bild im Farb- und Materialkonzept handels es sich womöglich um den Schalungstyp 4.1.4 BOK 2 oder BOK 3.
Es ist nicht ersichtlich, ob ein Beidseitiger Handlauf eingeplant wurde.Wir möchten drauf hinweisen, dass gemäss dem Fachdokument der BfU Treppen 2020 und SIA 500;2009 die Handläufe möglichst rund ausgeführt werden müssen und einen Durchmesser von ca. 3.5- 4.5cm aufweisen müssen. Die Höhe des Handlaufs sollte dabei zwischen 85- 90cm liegen."
138,391,Rohbau,Dämmung – Rohbau,"08 Verputzte Fassade (Seite 14)Womöglich ist dieses Detail noch nicht fertig geplant, wir möchten totzdem bereits darauf hinweisen, dass zu prüfen ist ob eine Flankendämmung bzw. Deckendämmung (Schichtex) an der Tiefgaragendecke nötig wird."
139,391,Rohbau,Hindernisfrei,"Es ist Allgmein zu klären, wieweit die Nasszellen, Küchen der Wohnungen bereits Hindernisfrei ausgeführt, bzw. vorbereitet werden? Ausholzungen? Die Stellflächen wurden ja bereits dafür Markiert und eingehalten.
Sofern es sich um ein IV-WC handelt möchten wir bereits jetzt darauf hinweisen dass vielfach der Zuziehgriff und die Ablagefläche beim Waschtisch vergessen geht. Auch soll darauf geachtet werden, dass ein Mischer mit Griffverlängerung oder Bewegungssensor ausgeführt wird, siehe auch SIA 500:2009 Anhang E."
140,391,Rohbau,Dachaufsicht,"Es ist anzunehmen, dass die Planung der PV-Anlage noch nicht abgeschlossen ist? Es muss sichergestellt werden das der Wartungsraum von 60cm eingealten wird und die Seilsicherung ohne Unterbrechung ausgeführt werden kann."
141,391,Rohbau,Vorwandinstallationen Nasszellen,"Generell ist zu hinterfragen, wie die Ausführung in den Vorwände ausgeführt wird. Grundsätzlich ist eine Auflockung aus Hygienischer (Kalt- und Warmwasser) sicht nicht mehr zulässig. Es ist klar zu empfehlen mit Geberit ProTec zu arbeiten."
142,391,Rohbau,Waschturm,"Auch hier möchten wir darauf hinweisen, dass in der Planung darauf geachtet wird, dass das Absperrventil für den Waschturm genügend hoch und seitich geplant wird. Nur so kann die Maschine möglichst an die Wand geschoben werden und die Bedienung des Ventil ist möglich. Gemäss EN 103 Volzugshilfe, müssen Innenliegende Räume (mit innerer Abwärme) zudem mit einem RT ausgestattet werden."
143,391,Rohbau,Wohnungstür,"Wir möchten darauf hinweisen, dass bei den Türen darauf geachtet werden soll, dass diese mit Puffer ausgestattet werden (Schall)."
144,391,Rohbau,Trennung Fremdbauteile,"Es sind noch keine Trennungen zwischen den Betonwänden (Kern) und den Backsteinwänden ersichtlich. Wir gehen davon aus, dass diese Anschlüsse noch mit einem Dämmstreifen voneinander entkoppelt werden (PS81)."
145,391,Rohbau,Wohnungstrennwand,Wohnungstrennwand Schallschutz:Alle Geschosse: Keine Betonwand im Eckbereich
146,391,Rohbau,Sichtbeton,"Im Baubeschrieb kann entnommen werden, dass das Treppenhaus in Sichtbeton mit de Schalungstyp 4.1.1, BOK 3 ausgeführt wird. Demzufolge ist gemäss SIA 118-262;2018 und CEM Suisse ein Referenzbauteil zu definieren und bezüglich der Ausführung zu bemustern."
147,391,Rohbau,Brifkastenanlage,"Soweit ersichtlich, ist die geplante Briefkastenanlage an einer angrenzenden Wohnung. Es ist ein grosses Augenmerk auf den Schallschutz zulegen.Dies ist mit dem zuständigen Bauakustiker zu prüfen."
148,391,Rohbau,Zugtang Veloraum,Es ist zu prüfen ob der Zugang zum Veloraum mit einem Elektrischem Türöffner ausgeführt wird. Dies um das Ein- und Ausbringen des Velos zu vereinfachen.
149,392,Rohbau,Nutzungsvereinbarung,"Geplante NutzungsdauerDie Nutzungsdauer wird für statisch notwendige Bauteile auf 50 Jahre festgelegt. Während der Nutzungsdauer sind die periodischen Unterhaltsarbeiten nach SIA 469 durchzuführen. Nach Ablauf dieser Nutzungsdauer soll mit Instandsetzungsmassnahmen eine weitere Nutzungsperiode der gleichen Grössenordnung möglich sein.Austauschbare Bauteile, wie Abdichtungen, Beläge etc. haben eine geplante Nutzungsdauer von 25 Jahre. Die geplante Nutzungsdauer soll durch eine sorgfältige konstruktive Durchbildung des Tragwerks, eine regelmässige Überwachung und eine periodische Durchführung von Unterhaltsarbeiten sichergestellt werden.
Geplante NutzungsdauerDie tragende Struktur soll während mindestens 80 Jahren ohne Aufwendungen, die über den üblichen Gebäudeunterhalt hinausgehen, genutzt werden können. Nach Ablauf dieser Nutzungsdauer soll mit lnstandsetzungsmassnahmen eine weitere Nutzungsperiode von der gleichen Grössenordnung möglich sein.SIA 260:2013 Abs. 2.3Die Nutzungsdauer ist zu vereinbaren. Richtwerte sind:- temporäre Bauwerke bis 10 Jahre- austauschbare Bauteile bis 25 Jahre- Gebäude und andere Bauwerke von normaler Bedeutung 50 Jahre- Bauwerke von übergeordneter Bedeutung 100 Jahre
Fundation, Baugrund und GrundwasserverhältnisseZur Beweissicherung ist der Zustand von Nachbargebäuden/Anlagen und Strassen vor Baubeginn durch den TU aufnehmen zu lassen, um allfällige spätere Forderungen abweisen zu können (vorsorgliche Beweisaufnahme).Trotz korrekter Bemessung und Überwachung sind entsprechend der Schwierigkeit der Baustelle gewisse Beeinträchtigungen der angrenzenden Bauten und Anlagen selten ganz auszuschliessen. Dies gehören zum Risiko des Totalunternehmers.
Die geplante Nutzungsdauer sollte sich auf Bauteile beziehen. Aufgrund dessen empfehlen wir den Korrosionsschutz aus der Liste zu entfernen. Im Weiteren auch bezüglich der kurzen Nutzungsdauer. Aus unserer Sicht müsste gewährleistet werden, dass der Korrosionsschutz mindestens dieselbe Lebensdauer wie das Tragwerk erreicht. Diese Formulierung erachten wir als sehr unüblich und haben wir in den letzten geprüften Nutzungsvereinbarungen nicht angetroffen.
Rissbildung, RissbeschränkungSichtbetonflächen im Treppenhaus wie im Baubeschrieb definieren (BOK2 in Schalungstyp 4.1).Für die Wandschalung ist es zudem ratsam ein Bewehrungskorrosionsschutz/Haftbrücke für die Armierung mit zu berücksichtigen.Rissbreiten sind zu definieren, die Grössenordnung der zu erwartenden Rissbreiten kann folgendermassen angegeben werden:- Bei normalen Anforderungen: Rissbreite: bis 0,7 mm- Bei erhöhten Anforderungen: Rissbreite: bis 0,5 mm- Hohe Anforderungen: Rissbreite: bis 0,2 mmGemäss SIA 262:2013, Tabelle 17 werden bei Normalen Anforderungen Rissbreiten bis 0,7mm und bei erhöhten Anforderungen 0,5mm und bei Hoch 0,2mm angegeben. Wo welche Rissbreiten toleriert werden, ist zu definieren. Dabei sind bei den Bauteilen wie DK2 Weisse Wanne risse bis 0,5mm und DK1 Gelbe Wanne bis 0,2mm zulässig!
Wir empfehlen in diesem Kapitel die folgende Ergänzung und zu definieren, welche Anforderungen an die Risse gemäss SIA 262:2013 von Seiten Bauherrschaft gestellt werden (normale, erhöhte oder hohe Anforderungen). Dies damit beim Auftreten von Rissen keine Unstimmigkeiten bzw. kein Interpretationsspielraum in der Beurteilung entsteht:Für die Aussenwände UG, wie auch für die Wohnungsdecken, sollten die erhöhten Anforderungen vorgegeben werden. So können spätere Ausbesserungsarbeiten, welche meist den ästehtischen Ansprüchen nicht gerecht werden, verhindert resp. entgegen gewirkt werden.
Mittlere Rissbreiten werden in der Norm nicht festgehalten. Die Grössenordnung der zu erwartenden Rissbreiten kann folgendermassen angegeben werden:- Bei normalen Anforderungen:  Mittlere Rissbreite: ca. 0.3 bis 0.6 mm- Bei erhöhten Anforderungen:  Mittlere Rissbreite: ca. 0.2 bis 0.4 mmGemäss SIA 262:2013, Tabelle 17 werden bei Normalen Anforderungen Rissbreiten bis 0,7mm und bei erhöhten Anforderungen 0,5mm und bei Hoch 0,2mm angegeben. Wo welche Rissbreiten toleriert werden, ist zu definieren. Dabei sind Bauteile gemeint, wie DK2 Weisse Wanne und DK1 Gelbe Wanne.
Beton (Risse und Betonqualität)QualiCasa empfiehlt bezüglich Dauerhaftigkeit der Betonbauteile folgende wichtige Ergänzungen: Für die Rampenbauwerke (bestehend aus Bodenplatte, Aussenwände und Decke sowie Radabweiser), Umgebungsmauern, Aussentreppen gelten infolge der Taumittel- und Temperatureinwirkung hohe Anforderungen gem. SIA 262 bezüglich der Rissbildung.Alle Bauteile die planmässig einer erhöhten Taumittel- und Temperatureinwirkung ausgesetzt werden, wie Rampenbauwerke, Aussentreppen, Umgebungsmauern, etc., werden in frost- und frosttaumittelbeständigem Beton ausgeführt.
Entwässerung Tiefgarage:Die Tiefgarage ist so zu entwässern, dass kein Wasser auf der Oberfläche oder in Entwässerungsrinnen liegen bleibt.
Wasserdichtigkeit der GebäudehülleSystemgarantie Die Dichtigkeit der erdberührten Bauteile wird durch das Ausbilden einer WDB sichergestellt. Es wird vom Systemlieferanten eine 10-jährige Ausführungs- und Wasserdichtigkeitsgarantie gefordert. Die entsprechende Versicherungsdeckung ist nachzuweisen. Es sind folgende Massnahmen zu treffen:
Die Einhaltung der Brandschutzanforderungen an nicht tragende Bauteile obliegt dem Architekten. Der QS- Verantwortliche Brandschutz stellt die Einhaltung der Brandschutzanforderungen über das gesamte Bauwerk sicher.
DauerhaftigkeitBewitterte Bauteile müssen frostbeständig, Spritzwasser oder Sprühnebel ausgesetzte Bauteile frost-tausalzbeständig ausgeführt werden. Eine dauerhafte Frost- und Frost-Tausalzbeständigkeit wird durch eine entsprechende Bewehrungsüberdeckung, Betonzusammensetzung und teilweise zusätzlich extern aufzubringenden Schutzanstrich gemäss folgender Tabelle erreicht. Hinsichtlich möglicher Frühschwindrisse und quellenden Fremdstoffanteilen möchten wir insbesondere vom Einsatz von Recyclingbeton in der Bodenplatte abgeraten.
Die Tiefgarage und die Zufahrtsrampe sind Wasser- und Tausalzeinwirkungen ausgesetzt. Liegen Räume direkt unter der Tiefgarage oder der Zufahrtsrampe, sind diese mit einem geeigneten, rissüberbrückenden Parkingbelag zu schützen. In den restlichen Bereichen ist der Konstruktionsbeton mindestens durch einen tausalzbeständigen, 30mm starken Hartbetonbelag zu schützen. Ein einwandfreier Verbund zwischen Hartbeton und Konstruktionsbeton wird vorausgesetzt.Der Hartbeton darf nicht zur Bewehrungsüberdeckung dazu gerechnet werden.Beispiel: Es wird oft eine Bretteinlage für die Rinnenentwässerung ausgeführt, meist wird die Bewehrung in diesem Bereich nicht abgesenkt, dadurch ist die Bewehrungsüberdeckung nicht mehr gegeben. Es ist ein besonderes Augenmerk auf die Ausführung zu legen.Die stark exponierte Tiefgarageneinfahrt wird mit einem Frosttausalzbeständigen Beton ausgeführt.Es ist zu prüfen, auch im Bereich der Tiefgarage den Konstruktionsbeton Frost- und Tausalzbeständig auszuführen, auszuschreiben.
Akzeptierte RisikenNachbearbeitung der WasserabdichtungDer Unternehmer hat im Rahmen des Werkvertrages die Dichtigkeit der Wasserabdichtung mit einer Ausführungs- und Systemgarantie während 10 Jahren zu garantieren. Das Auftreten wasserführender Risse kann jedoch auch bei fachgerechter Ausführung der Abdichtung und nach langjähriger Nutzung nicht ausgeschlossen werden. Die Bauherrschaft akzeptiert, dass eventuell auftretende Risse nachträglich durch Injektionen abgedichtet werden müssen, und nimmt allfällige Nutzungseinschränkungen während dieser Massnahmen in Kauf.
Beschrieb Abdichtungskonzept Bindlöcher werden mit Zapfen (Flupp-Zapfen) beidseitig gestopft und mit Epoxykleber abgedichtet.Wenn möglich sind die Bindlöcher nicht im Sichtbereich anzuordnen.Die Ausführung bzw. das Aussehen der Bindlöcher sollte im Bereich des Sichtbetons mit der Referenzfläche definiert werden.
Die Sichtbetonbauteile werden mit der BOK2 klasse definiert.Normale Anforderungen genügen für BOK2 nicht, die Rissbreiten sind hier besonders festzuhalten. Es ist zu empfehlen, ein zusätzliches Referenzbauteil «Muster» sowie die Nachbehandlungsklassen (NBK) mit auszuschreiben.Für die Wandschalung ist es zudem ratsam ein Bewehrungskorrosionsschutz/Haftbrücke für die Armierung mit zu berücksichtigen.
Es ist zu prüfen, ob vorgängig Rissaufnahmen bei den Nachbargebäuden durchgeführt werden sollten.Gemäss Baubeschrieb vom 15.01.2024 wird das Gebäude in der Nähe einer Abteilung der Hirslanden Klinik errichtet.
Gemäss Nutzungsvereinbarung vom 10.09.2018, Seite 9, liegt das Objekt nicht im Grundwasserbereich und es besteht somit kein Auftrieb. QualiCasa empfiehlt aufgrund dessen zu prüfen, ob für «Untergeschoss/Keller» effektiv die DK 1 benötigt wird. Diesbezüglich sollten generell die Gebäudeteile in der Tabelle genauer definiert/beschrieben werden. Wir empfehlen betreffend Dichtigkeit des Untergeschosses folgende Formulierung zu prüfen: Das gesamte Untergeschoss bzw. sämtliche Betonbauteile gegenüber dem Erdreich werden im System «Weisse Wanne» mit WD-Beton und mit 10-jähriger Systemgarantie von einem Systemlieferanten erstellt. Dabei gilt es grundsätzlich die Dichtigkeitsklasse 2 nach SIA 272 zu erfüllen.Räume im Untergeschoss, bei welchen aufgrund der Nutzung eine Innendämmung erforderlich ist, sind zwingend aussen mit einer wasserdichten und rissüberbrückenden Beschichtung zu versehen (Dichtigkeitsklasse 1). Dies gilt insbesondere auch für alle Bauteile und Räume, bei denen eine Mängelbehebung mittels Injektion nicht mehr möglich ist (z.B. Technikräume ebenfalls Dichtigkeitsklasse 1 vorsehen).
In den Bauteilen der „Weissen Wanne“ mit erhöhten Anforderungen an die Rissbildung ist gemäss der Norm SIA 272 eine stärkere Mindestbewehrung erforderlich. Falls ein Systemanbieter Bauwerksabdichtung beigezogen wird, welcher eine Dichtigkeitsgarantie gewährt, wird die Mindestbewehrung der Bauteile der „Weissen Wanne“ nach dessen Angaben und nicht nach den SIA-Normen ausgeführt. An diese Bauteile werden dementsprechend nicht die erhöhten Anforderungen bezüglich Rissbildung gestellt.Wir nehmen an, dass die Abdichtung durch einen Systemanbieter ausgeführt wird. Empfehlung: Generell die erhöhten Anforderungen an die Rissbildung ausführen.Wurde bereits in der ersten Überprüfung vom 04.01.2022 erwähnt.
Die Dichtigkeit der erdberührten Bodenplatte und Aussenwände gegen eindringendes Wasser wird allein mit der Betonkonstruktion, d.h. mit dem System „Weisse Wanne“ gewährleistet. Arbeits- und Dilatationsfugen, sowie Leitungsdurchdringungen werden mit Körperfugenbändern, Mauerkragen oder Injektionskanälen abgedichtet. Dies wird durch einen Systemanbieter ausgeführt mit einer 10-jährigen Systemgarantie auf Dichtigkeit.
Es ist zu prüfen, ob die Bodenplatte & Wände Technik in DK 1 ausgeführt werden sollten."
